"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[kit name]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate ID]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[acquisition parameter file]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[run number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Date"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"
"M253"	"extraction/derivatization"	"M253"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"68"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_68_1_1_SAMPLE_222242_M253"	"KIT1-0-41_231630_68_1_1_1_00_222242.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"BLANK"	"extraction/derivatization"	"BLANK"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"1"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"3"	""	""	"2010-05-20"	"KIT1-0-41_231630_1_1_3_BLANK_10000001_BLANK"	"KIT1-0-41_231630_01_1_1_3_01_10000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"PBS   4  HSA"	"extraction/derivatization"	"PBS   4  HSA"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"2"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_2_1_1_ZERO_SAMPLE_11000001_PBS   4  HSA"	"KIT1-0-41_231630_02_1_1_1_10_11000001.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1520"	"extraction/derivatization"	"M1520"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"3"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_3_1_1_SAMPLE_222821_M1520"	"KIT1-0-41_231630_03_1_1_1_00_222821.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M237"	"extraction/derivatization"	"M237"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"64"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_64_1_1_SAMPLE_222211_M237"	"KIT1-0-41_231630_64_1_1_1_00_222211.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2197"	"extraction/derivatization"	"M2197"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"4"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_4_1_1_SAMPLE_222747_M2197"	"KIT1-0-41_231630_04_1_1_1_00_222747.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2202"	"extraction/derivatization"	"M2202"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"5"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_5_1_1_SAMPLE_222795_M2202"	"KIT1-0-41_231630_05_1_1_1_00_222795.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M2200"	"extraction/derivatization"	"M2200"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"76"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_76_1_1_SAMPLE_222778_M2200"	"KIT1-0-41_231630_76_1_1_1_00_222778.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"M1165"	"extraction/derivatization"	"M1165"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"9"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_9_1_1_SAMPLE_222287_M1165"	"KIT1-0-41_231630_09_1_1_1_00_222287.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
"KIT2 L6"	"extraction/derivatization"	"KIT2 L6"	"KIT1-0-41"	"Biocrates p150 Kit"	""	""	"231630"	""	""	"73"	""	""	"none reported"	""	""	"KIT-FIA_pos.dam"	""	""	"flow injection analysis"	"MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"MS"	"http://purl.obolibrary.org/obo/MS_1000130"	"1"	""	""	"1"	""	""	"2010-05-20"	"KIT1-0-41_231630_73_1_1_STANDARD_L6_200088_KIT2 L6"	"KIT1-0-41_231630_73_1_1_1_02_200088.wiff"	"biocrates analysis"	"MetIQ_Local Build-DB100-Local Build"	""	""	"DT_KIT1-0-41_231630"	"KIT1-0-41_231630_maf-positive.txt"
