"Source Name"	"Characteristics[barcode identifier]"	"Term Source REF"	"Term Accession Number"	"Characteristics[material role]"	"Term Source REF"	"Term Accession Number"	"Characteristics[chemical compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Experiment-5123]"	"Term Source REF"	"Term Accession Number"	"Characteristics[consomic_chromosome]"	"Term Source REF"	"Term Accession Number"	"Characteristics[mouse_strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[mouse_strain_description]"	"Term Source REF"	"Term Accession Number"	"Characteristics[feeding_description]"	"Term Source REF"	"Term Accession Number"	"Characteristics[feeding]"	"Term Source REF"	"Term Accession Number"	"Characteristics[RNAseq data availability]"	"Term Source REF"	"Term Accession Number"	"Characteristics[ABI-Chip data availability]"	"Term Source REF"	"Term Accession Number"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of Mallory-Denk bodies by p62 staining]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment Mallory-Denk bodies by Ubiquitin staining]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of pigment]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of cellular ballooning]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of steatosis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of ductulare reaction]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of inflammation]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of sclerosing cholangitis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of apoptosis]"	"Term Source REF"	"Term Accession Number"	"Characteristics[morphological assessment of necrosis]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Date"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"BA01 Cal 1"	"205479"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"02/02/2010"	"BA01 Cal 1"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"BA01 Cal 1"	"282969"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal 1"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"BA01 Cal0 dummy"	"205465"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal0 dummy"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"BA01 Cal0 dummy"	"282955"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal0 dummy"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"BA01 Cal2"	"282972"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal2"	"STANDARD_L2"	""	""	""	""	""	""	""	""	""
"BA01 Cal2"	"205482"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"02/02/2010"	"BA01 Cal2"	"STANDARD_L2"	""	""	""	""	""	""	""	""	""
"BA01 Cal3"	"282986"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal3"	"STANDARD_L3"	""	""	""	""	""	""	""	""	""
"BA01 Cal3"	"205496"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"02/02/2010"	"BA01 Cal3"	"STANDARD_L3"	""	""	""	""	""	""	""	""	""
"BA01 Cal4"	"282990"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal4"	"STANDARD_L4"	""	""	""	""	""	""	""	""	""
"BA01 Cal4"	"205504"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"02/02/2010"	"BA01 Cal4"	"STANDARD_L4"	""	""	""	""	""	""	""	""	""
"BA01 Cal5"	"281668"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal5"	"STANDARD_L5"	""	""	""	""	""	""	""	""	""
"BA01 Cal5"	"205518"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"02/02/2010"	"BA01 Cal5"	"STANDARD_L5"	""	""	""	""	""	""	""	""	""
"BA01 Cal6"	"204961"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"02/02/2010"	"BA01 Cal6"	"STANDARD_L6"	""	""	""	""	""	""	""	""	""
"BA01 Cal6"	"282941"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"01/09/2010"	"BA01 Cal6"	"STANDARD_L6"	""	""	""	""	""	""	""	""	""
"BLANK"	"10000001"	""	""	"negative control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000079"	"no sample to pipette"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"none reported"	"BLANK"	"BLANK"	""	""	""	""	""	""	""	""	""
"EM01 Cal1"	"230763"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal1"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"EM01 Cal1"	"270331"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal1"	"STANDARD_L1"	""	""	""	""	""	""	""	""	""
"EM01 Cal2"	"230777"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal2"	"STANDARD_L2"	""	""	""	""	""	""	""	""	""
"EM01 Cal2"	"270344"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal2"	"STANDARD_L2"	""	""	""	""	""	""	""	""	""
"EM01 Cal3"	"270358"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal3"	"STANDARD_L3"	""	""	""	""	""	""	""	""	""
"EM01 Cal3"	"230781"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal3"	"STANDARD_L3"	""	""	""	""	""	""	""	""	""
"EM01 Cal4"	"270361"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal4"	"STANDARD_L4"	""	""	""	""	""	""	""	""	""
"EM01 Cal4"	"230794"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal4"	"STANDARD_L4"	""	""	""	""	""	""	""	""	""
"EM01 Cal5"	"230816"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal5"	"STANDARD_L5"	""	""	""	""	""	""	""	""	""
"EM01 Cal5"	"270375"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal5"	"STANDARD_L5"	""	""	""	""	""	""	""	""	""
"EM01 Cal6"	"230820"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal6"	"STANDARD_L6"	""	""	""	""	""	""	""	""	""
"EM01 Cal6"	"270389"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal6"	"STANDARD_L6"	""	""	""	""	""	""	""	""	""
"EM01 Cal7"	"230833"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"11/05/2010"	"EM01 Cal7"	"STANDARD_L7"	""	""	""	""	""	""	""	""	""
"EM01 Cal7"	"270392"	""	""	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"	"calibrators"	""	""	"not applicable"	""	""	"not applicable"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"sample collection"	"23/09/2010"	"EM01 Cal7"	"STANDARD_L7"	""	""	""	""	""	""	""	""	""
